Type%Brand%Variety%Quantity%Price%Selling Price
Lettuce%East-West Seed%Green Ice, Red Rapid, Romaine%10g%₱168%₱224
Lettuce%Known-You Seed%Grand Rapids, Red Sails%10g%₱168%₱224
Lettuce%Ramgo Seeds%Cos Lettuce, Looseleaf Lettuce%10g%₱168%₱224
Kangkong (Water Spinach)%East-West Seed%Upland, Lowland Kangkong%10g%₱168%₱224
Kangkong (Water Spinach)%Ramgo Seeds%Upland Kangkong%10g%₱168%₱224
Basil and Other Herbs%Ramgo Seeds%Basil, Dill, Oregano%10g%₱168%₱224
Basil and Other Herbs%East-West Seed%Sweet Basil, Thai Basil%10g%₱168%₱224
